location,lat,lng,date,time_start,mode,volume
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T16:30:00,bike,11.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T16:30:00,vehicle,329.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T16:45:00,ped,223.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T16:45:00,bike,16.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T16:45:00,vehicle,288.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T17:00:00,ped,268.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T17:00:00,bike,17.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T17:00:00,vehicle,335.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T17:15:00,ped,246.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T17:15:00,bike,24.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T17:15:00,vehicle,317.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T17:30:00,ped,260.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T17:30:00,bike,20.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T17:30:00,vehicle,340.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T17:45:00,ped,235.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T17:45:00,bike,19.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T17:45:00,vehicle,338.0
Cecil St / Beverley St,43.6569639165242,-79.3951210587349,2020-02-11,2020-02-11T07:30:00,ped,19.0
Cecil St / Beverley St,43.6569639165242,-79.3951210587349,2020-02-11,2020-02-11T07:30:00,bike,22.0
Cecil St / Beverley St,43.6569639165242,-79.3951210587349,2020-02-11,2020-02-11T07:30:00,vehicle,95.0
Cecil St / Beverley St,43.6569639165242,-79.3951210587349,2020-02-11,2020-02-11T07:45:00,ped,30.0
Cecil St / Beverley St,43.6569639165242,-79.3951210587349,2020-02-11,2020-02-11T07:45:00,bike,17.0
Cecil St / Beverley St,43.6569639165242,-79.3951210587349,2020-02-11,2020-02-11T07:45:00,vehicle,110.0
Cecil St / Beverley St,43.6569639165242,-79.3951210587349,2020-02-11,2020-02-11T08:00:00,ped,42.0
Cecil St / Beverley St,43.6569639165242,-79.3951210587349,2020-02-11,2020-02-11T08:00:00,bike,29.0
Cecil St / Beverley St,43.6569639165242,-79.3951210587349,2020-02-11,2020-02-11T08:00:00,vehicle,128.0
Cecil St / Beverley St,43.6569639165242,-79.3951210587349,2020-02-11,2020-02-11T08:15:00,ped,56.0
Cecil St / Beverley St,43.6569639165242,-79.3951210587349,2020-02-11,2020-02-11T08:15:00,bike,38.0
Cecil St / Beverley St,43.6569639165242,-79.3951210587349,2020-02-11,2020-02-11T08:15:00,vehicle,155.0
